,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
467,Naryan-Mar,RU,67.6713,53.087,64.9,72,98,14.83,overcast clouds
468,Tres Arroyos,AR,-38.3739,-60.2798,56.55,53,30,1.14,scattered clouds
469,Natal,BR,-5.795,-35.2094,79.02,73,40,10.36,scattered clouds
470,Khvorostyanka,RU,52.6096,48.9597,73.72,58,100,4.68,overcast clouds
471,Ciuperceni,RO,43.7667,24.95,80.85,36,99,4.59,overcast clouds
472,Antofagasta,CL,-23.65,-70.4,66.22,61,5,5.01,clear sky
473,Durango,MX,24.8333,-104.8333,69.31,62,98,9.44,overcast clouds
474,Aswan,EG,24.0934,32.907,99.7,16,0,12.66,clear sky
475,Eydhafushi,MV,5.1033,73.0708,81.64,76,95,5.93,overcast clouds
476,Ixmiquilpan,MX,20.4833,-99.2333,77.95,50,82,13.67,broken clouds
477,Irara,BR,-12.05,-38.7667,65.43,90,42,7.2,scattered clouds
478,Paamiut,GL,61.994,-49.6678,45.46,91,100,7.85,light rain
479,Egvekinot,RU,66.3167,-179.1667,44.58,98,100,6.33,light rain
480,Yueyang,CN,29.3333,113.0919,78.55,88,0,8.34,clear sky
481,Talagang,PK,32.9297,72.4158,89.42,56,32,13.0,scattered clouds
482,Upernavik,GL,72.7868,-56.1549,43.27,88,94,8.05,overcast clouds
483,Kawambwa,ZM,-9.7915,29.0791,61.97,41,0,4.41,clear sky
484,San Clemente,US,33.427,-117.612,111.56,72,21,1.99,few clouds
485,Qaqortoq,GL,60.7167,-46.0333,45.99,91,100,6.38,light rain
486,Lady Lake,US,28.9175,-81.9229,87.66,78,40,5.01,scattered clouds
487,Chapais,CA,49.7834,-74.8492,58.78,48,73,10.13,broken clouds
488,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,21,0,10.36,clear sky
489,Veseloyarsk,RU,51.2836,81.1056,63.28,70,48,3.87,scattered clouds
490,Linda,US,39.1277,-121.5508,105.91,21,1,5.75,clear sky
491,Pudozh,RU,61.8099,36.5345,56.98,84,8,12.19,clear sky
492,Shiloh,US,38.5614,-89.8973,82.42,49,20,8.05,few clouds
493,Cacu,BR,-18.5567,-51.1308,75.81,34,52,6.69,broken clouds
494,Klyuchi,RU,52.2667,79.1667,64.63,60,63,3.29,broken clouds
495,Shaowu,CN,27.3409,117.4831,76.05,95,99,1.34,overcast clouds
496,Mikhaylov,RU,54.2292,39.0186,62.19,73,66,6.22,broken clouds
497,Koubia,GN,11.5833,-11.9,68.85,95,100,1.07,moderate rain
498,Bayangol,RU,50.6977,103.4656,46.74,87,100,3.29,overcast clouds
499,Pundaguitan,PH,6.3711,126.1689,83.05,74,88,4.81,overcast clouds
500,Havoysund,NO,70.9963,24.6622,49.08,84,100,5.55,overcast clouds
501,Brigantine,US,39.4101,-74.3646,79.12,67,1,9.22,clear sky
502,Tura,IN,25.5198,90.2201,75.92,95,100,5.35,overcast clouds
503,Nouna,BF,12.7333,-3.8667,79.74,73,54,8.28,broken clouds
504,Dubbo,AU,-32.25,148.6167,41.13,97,90,8.05,overcast clouds
505,Dengzhou,CN,37.8086,120.7508,73.65,84,99,5.3,overcast clouds
506,Kalianget,ID,-7.05,113.9333,79.7,79,71,9.95,broken clouds
507,Tanabe,JP,33.7333,135.3667,77.94,85,57,4.25,broken clouds
508,Miles City,US,46.4083,-105.8406,85.17,24,1,0.0,clear sky
509,Darnah,LY,32.767,22.6367,85.19,60,0,13.85,clear sky
510,Houma,US,29.5958,-90.7195,82.99,85,100,4.0,overcast clouds
511,Tabou,CI,4.423,-7.3528,76.42,82,76,6.82,broken clouds
512,Hurghada,EG,27.2574,33.8129,86.04,62,0,0.0,clear sky
513,Mikumi,TZ,-7.4041,36.9831,66.36,68,46,2.98,scattered clouds
514,Cookeville,US,36.1628,-85.5016,83.57,44,20,1.01,few clouds
515,Okha,RU,53.5739,142.9478,54.37,88,100,14.67,overcast clouds
516,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.55,28,47,2.95,scattered clouds
517,Santa Cruz,BO,-17.8,-63.1667,80.06,31,75,9.22,broken clouds
518,Urubicha,BO,-15.3833,-62.95,86.61,27,97,0.72,overcast clouds
519,De Aar,ZA,-30.6497,24.0123,49.91,24,0,5.12,clear sky
520,Ureki,GE,41.9956,41.7786,75.63,88,0,2.33,clear sky
521,Puerto Palomas,MX,31.7667,-107.6167,90.73,32,6,7.72,clear sky
522,Santa Ana,US,33.7456,-117.8678,109.67,41,20,4.0,few clouds
523,Pekan,MY,3.4836,103.3996,78.91,91,100,4.92,overcast clouds
524,Beauvais,FR,49.4167,2.0,62.76,87,75,3.44,broken clouds
525,Irati,BR,-25.4672,-50.6511,51.76,76,4,2.15,clear sky
526,Shenzhen,CN,22.5455,114.0683,83.21,95,95,5.77,overcast clouds
527,Kharagpur,IN,22.3333,87.3333,80.33,87,100,10.71,overcast clouds
528,Bundaberg,AU,-24.85,152.35,62.22,57,90,5.01,overcast clouds
529,Vila Do Maio,CV,15.1333,-23.2167,74.19,90,98,14.74,overcast clouds
530,Constitucion,CL,-35.3333,-72.4167,57.2,69,4,3.11,clear sky
531,Madera,US,37.1666,-119.8343,107.76,15,0,1.01,clear sky
532,Stephenville,US,32.2207,-98.2023,90.93,38,40,4.61,scattered clouds
533,Birjand,IR,32.8663,59.2211,72.07,10,0,6.91,clear sky
534,Saint-Francois,FR,46.4154,3.9054,59.18,96,0,2.3,clear sky
535,Tabory,RU,58.5198,64.5495,57.2,88,4,2.89,clear sky
536,Mount Isa,AU,-20.7333,139.5,53.37,37,12,13.8,few clouds
537,Chicama,PE,-7.8447,-79.1469,64.94,57,0,9.44,clear sky
538,Kazerun,IR,29.6195,51.6541,88.57,25,0,2.21,clear sky
539,San Cristobal,VE,7.7669,-72.225,80.78,70,99,6.91,overcast clouds
540,San Juan,AR,-31.5375,-68.5364,69.37,18,1,7.05,clear sky
541,Tromso,NO,69.6496,18.957,50.65,81,75,4.0,broken clouds
542,Kalmunai,LK,7.4167,81.8167,80.83,72,100,3.22,overcast clouds
543,Acajutla,SV,13.5928,-89.8275,87.8,75,65,8.16,light rain
544,Prestea,GH,5.4327,-2.1428,75.49,88,100,6.06,overcast clouds
545,Pangai,TO,-19.8,-174.35,75.31,53,20,4.61,few clouds
546,Fallon,US,39.4735,-118.7774,97.45,12,20,4.61,few clouds
547,Baruun-Urt,MN,46.6806,113.2792,57.87,95,98,7.56,overcast clouds
548,Viedma,AR,-40.8135,-62.9967,55.38,52,52,8.19,broken clouds
549,Zyryanskoye,RU,56.8306,86.6258,57.81,96,58,3.58,broken clouds
550,Tomatlan,MX,19.9333,-105.25,91.38,60,63,9.69,broken clouds
551,Pierre,US,44.3683,-100.351,95.99,32,1,5.01,clear sky
552,Guadix,ES,37.2993,-3.1392,76.35,38,4,4.34,clear sky
553,Saint-Pierre,RE,-21.3393,55.4781,69.48,51,90,8.05,overcast clouds
554,Komsomolskiy,UZ,40.4272,71.7189,80.02,38,64,9.22,broken clouds
555,Sanski Most,BA,44.7653,16.6656,71.08,53,11,5.08,few clouds
556,Attock,PK,33.7695,72.3611,79.77,70,9,5.28,clear sky
557,Narsaq,GL,60.9167,-46.05,45.99,93,100,0.54,light rain
558,Tete,MZ,-16.1564,33.5867,71.69,49,0,6.91,clear sky
559,Katangli,RU,51.7102,143.2326,52.05,98,100,17.36,overcast clouds
560,Juegang,CN,32.3174,121.1855,81.99,94,42,9.44,light rain
561,Jiwani,PK,25.05,61.7417,80.42,85,32,6.8,scattered clouds
562,Nishihara,JP,26.1842,127.7558,80.65,97,75,16.11,mist
563,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,82,23,15.39,few clouds
564,Hondo,JP,32.45,130.2,79.7,79,80,6.6,broken clouds
565,Port Keats,AU,-14.25,129.55,73.9,44,93,9.86,overcast clouds
566,Namibe,AO,-15.1961,12.1522,66.52,85,0,8.25,clear sky
567,Yining,CN,29.0361,114.5636,77.4,90,1,3.18,clear sky
568,Camenca,MD,48.0319,28.6978,63.09,64,13,2.21,few clouds
569,Talara,PE,-4.5772,-81.2719,75.96,64,0,12.66,clear sky
570,Lindi,TZ,-10.0,39.7167,70.32,81,58,4.43,broken clouds
571,Bari,IT,41.1177,16.8512,86.18,46,0,5.01,clear sky
572,Bull Savanna,JM,17.8868,-77.5902,81.12,73,100,12.03,overcast clouds
573,Oktyabrskiy,RU,54.4815,53.471,75.54,37,29,2.1,scattered clouds
574,Anadyr,RU,64.75,177.4833,46.9,87,75,21.99,broken clouds
575,Tooele,US,40.5308,-112.2983,88.25,34,1,4.61,clear sky
576,Vardo,NO,70.3705,31.1107,46.6,93,100,34.18,moderate rain
577,Kaduy,RU,59.2,37.15,59.04,80,0,8.63,light rain
578,Utraula,IN,27.3167,82.4167,80.24,84,98,5.01,overcast clouds
579,Taranto,IT,40.6167,17.25,83.19,47,25,1.99,scattered clouds
580,Balmullo,GB,56.3769,-2.9294,62.53,82,73,3.42,broken clouds
581,Vao,NC,-22.6667,167.4833,68.9,67,37,5.14,scattered clouds
582,Henties Bay,NA,-22.116,14.2845,58.86,88,34,6.42,scattered clouds
583,Mangrol,IN,21.1167,70.1167,81.43,84,100,19.17,light rain
584,Gravdal,NO,68.1214,13.5031,51.69,87,75,0.0,broken clouds
585,Lumeje,AO,-11.55,20.7833,65.93,32,17,4.59,few clouds
586,Alugan,PH,12.2188,125.4808,81.61,77,100,10.63,overcast clouds
587,Mbaiki,CF,3.8678,17.9892,73.2,81,100,3.18,overcast clouds
588,Winnemucca,US,40.973,-117.7357,98.11,15,40,6.91,scattered clouds
589,Ostrovnoy,RU,68.0531,39.5131,56.66,92,85,18.52,overcast clouds
590,Mwense,ZM,-10.3845,28.698,63.7,40,2,1.61,clear sky
591,Uzhhorod,UA,48.6167,22.3,65.39,60,76,4.76,broken clouds
592,Mackay,AU,-21.15,149.2,62.04,94,6,5.75,clear sky
593,Puerto Escondido,MX,15.85,-97.0667,88.12,62,95,7.36,overcast clouds
594,Kanash,RU,55.5086,47.4956,67.59,90,100,4.94,light rain
595,Vila,PT,42.0304,-8.1588,62.74,82,100,2.89,overcast clouds
596,Meadow Lake,US,34.8014,-106.5436,90.82,31,9,6.76,clear sky
597,Bikin,RU,46.8161,134.26,73.33,94,100,4.23,light rain
598,Ipixuna,BR,-1.7625,-48.8043,87.75,69,69,2.35,broken clouds
599,Aykhal,RU,66.0,111.5,60.17,61,11,7.83,few clouds
600,Nanortalik,GL,60.1432,-45.2371,45.03,93,100,8.1,overcast clouds
601,Sal Rei,CV,16.1833,-22.9167,77.56,89,83,15.75,broken clouds
602,Portsmouth,GB,50.799,-1.0913,63.0,84,94,1.01,overcast clouds
603,Kariba,ZW,-16.5167,28.8,62.55,40,2,5.26,clear sky
604,Samarai,PG,-10.6167,150.6667,78.49,83,78,12.15,broken clouds
605,Kem,RU,64.9555,34.5793,51.33,90,100,22.44,overcast clouds
606,Krasnoborsk,RU,61.5598,45.934,57.15,95,11,4.9,few clouds
607,Le Port,RE,-20.9373,55.2919,69.8,62,0,6.08,clear sky
608,Ulaangom,MN,49.9811,92.0667,62.94,47,63,3.62,broken clouds
609,Tecoluca,SV,13.7892,-89.0053,80.1,59,85,3.42,light rain
610,Bud,US,39.447,-86.1758,80.04,51,20,6.08,few clouds
611,Batagay,RU,67.6333,134.6333,55.8,48,33,3.47,scattered clouds
612,Posse,BR,-14.0931,-46.3694,75.61,30,13,4.85,few clouds
613,Saryg-Sep,RU,51.5,95.6,54.18,74,18,4.03,few clouds
614,Les Herbiers,FR,46.8667,-1.0167,60.51,89,100,5.79,overcast clouds
615,Pavelets,RU,53.7883,39.246,62.58,62,38,6.33,scattered clouds
616,Kyakhta,RU,50.3508,106.4494,55.9,80,99,4.92,overcast clouds
617,Shetpe,KZ,44.1667,52.1167,88.03,23,68,5.21,broken clouds
618,Naze,JP,28.3667,129.4833,77.88,83,81,12.12,broken clouds
619,Kapoeta,SS,4.7717,33.5903,78.82,51,75,4.92,broken clouds
620,Tilichiki,RU,60.4667,166.1,45.01,66,96,9.06,overcast clouds
621,Ergolding,DE,48.5833,12.1667,61.66,91,100,1.99,light rain
622,Mitu,CO,1.1983,-70.1733,73.94,95,100,2.55,overcast clouds
623,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,3.44,mist
624,Edd,ER,13.9297,41.6925,91.02,62,99,4.21,overcast clouds
625,Menongue,AO,-14.6585,17.691,56.95,36,4,3.69,clear sky
626,Mandalay,MM,21.9747,96.0836,76.32,89,98,8.16,overcast clouds
627,Enshi,CN,30.3,109.4833,72.93,97,0,2.17,clear sky
628,El Naranjo,MX,21.4667,-98.6,91.4,51,98,6.15,overcast clouds
629,Cabra,ES,37.4725,-4.4421,82.9,55,22,7.29,few clouds
630,Souris,CA,49.6172,-100.2612,85.86,13,100,5.06,overcast clouds
631,Taltal,CL,-25.4,-70.4833,62.19,69,18,4.99,few clouds
632,Cowra,AU,-33.8333,148.6833,42.28,93,100,13.0,overcast clouds
633,Sinnamary,GF,5.3833,-52.95,81.73,71,13,7.9,few clouds
634,Huarmey,PE,-10.0681,-78.1522,69.28,73,11,10.33,few clouds
635,Nouadhibou,MR,20.931,-17.0347,73.38,78,0,8.05,clear sky
636,Kouango,CF,4.9934,19.9619,71.33,93,80,4.5,light rain
637,Beyneu,KZ,45.3167,55.2,91.29,19,2,7.43,clear sky
638,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,65,75,18.41,broken clouds
639,Nikolayevsk-Na-Amure,RU,53.1406,140.73,53.51,99,100,2.68,light rain
640,Roma,US,43.2128,-75.4557,79.43,45,20,3.44,few clouds
641,Anahuac,MX,27.2333,-100.15,91.49,41,88,6.02,overcast clouds
642,Grand Gaube,MU,-20.0064,57.6608,70.2,69,0,1.01,clear sky
643,Kishtwar,IN,33.3167,75.7667,66.51,89,29,3.27,scattered clouds
644,Mahina,PF,-17.5065,-149.489,82.17,74,40,11.5,light rain
645,Karwar,IN,14.8,74.1333,77.74,89,78,11.92,broken clouds
646,Mariental,NA,-24.6333,17.9667,65.23,26,95,4.61,overcast clouds
647,Santa Clara,CU,22.4,-79.9667,86.77,58,98,12.77,moderate rain
648,Porosozero,RU,62.7191,32.727,49.3,96,100,13.47,light rain
649,Pacific Grove,US,36.6177,-121.9166,93.61,75,40,1.01,scattered clouds
650,Mamou,GN,10.5,-12.0,69.3,98,100,1.99,moderate rain
651,Hovd,MN,48.0056,91.6419,64.0,44,0,2.06,clear sky
652,Igrim,RU,63.1906,64.4162,61.36,72,48,3.29,scattered clouds
653,Capinopolis,BR,-18.6819,-49.5697,77.74,28,69,7.58,broken clouds
654,Rondonopolis,BR,-16.4708,-54.6356,86.97,21,83,2.77,broken clouds
655,Chernushka,RU,56.5072,56.0766,67.75,54,16,4.65,few clouds
656,Festus,US,38.2206,-90.396,83.05,55,78,7.05,broken clouds
657,Lubao,PH,14.9167,120.55,82.47,86,100,13.44,heavy intensity rain
658,Morondava,MG,-20.2833,44.2833,69.33,65,0,13.11,clear sky
659,Canton,CN,23.1167,113.25,81.88,73,77,6.64,broken clouds
660,Kangaatsiaq,GL,68.3065,-53.4641,43.86,94,99,9.62,overcast clouds
661,Galveston,US,29.3669,-94.9669,92.14,74,100,3.0,overcast clouds
662,Port Macquarie,AU,-31.4333,152.9167,53.56,56,0,8.79,clear sky
663,Asfi,MA,32.2994,-9.2372,68.52,91,0,15.75,clear sky
664,Rantepao,ID,-2.9701,119.8978,66.42,99,100,0.56,light rain
665,Acoua,YT,-12.7239,45.0582,71.51,70,0,8.08,clear sky
666,Huainan,CN,32.6264,116.9969,76.17,98,23,6.04,few clouds
667,Sharanga,RU,57.1775,46.5396,63.9,96,54,5.19,light rain
668,Tymovskoye,RU,50.8456,142.655,53.67,95,100,5.44,overcast clouds
669,Bukachacha,RU,52.9833,116.9167,57.69,96,100,1.99,overcast clouds
670,Tiarei,PF,-17.5333,-149.3333,82.42,80,90,9.08,light rain
671,Asau,RO,46.4333,26.4,65.32,88,24,1.41,few clouds
672,Novyy Nekouz,RU,57.9029,38.07,56.1,80,3,7.05,clear sky
673,Muhororo,UG,0.9381,30.7594,68.22,64,98,2.06,overcast clouds
674,Copiapo,CL,-27.3667,-70.3333,56.89,37,35,6.38,scattered clouds
675,Maku,IR,39.2911,44.4521,72.05,39,3,2.95,clear sky
676,Hit,IQ,33.6416,42.8251,101.79,15,88,10.45,overcast clouds
677,San Carlos De Bariloche,AR,-41.1456,-71.3082,60.55,40,0,4.61,clear sky
678,Kuloy,RU,61.0305,42.4925,56.41,82,3,5.93,clear sky
679,Roebourne,AU,-20.7833,117.1333,61.77,26,5,18.37,clear sky
680,Aykino,RU,62.2248,49.9922,62.01,99,98,4.07,overcast clouds
681,Bontang,ID,0.1333,117.5,76.28,91,90,5.99,overcast clouds
682,Ciudad Del Maiz,MX,22.4,-99.6,82.99,41,5,12.08,clear sky
683,Ust-Nera,RU,64.5667,143.2,54.9,50,0,6.76,clear sky
684,Aksu,CN,41.1231,80.2644,75.52,33,42,2.39,scattered clouds
685,Shatrovo,RU,56.5167,64.6333,61.09,81,4,5.03,clear sky
686,Kaeo,NZ,-35.1,173.7833,48.33,88,90,3.74,overcast clouds
687,Vasterhaninge,SE,59.1167,18.1,60.62,62,42,5.7,scattered clouds
688,Along,IN,28.1667,94.7667,74.84,98,93,1.97,overcast clouds
689,Lasa,IT,46.6166,10.7002,61.68,92,99,3.65,overcast clouds
690,Grootfontein,NA,-19.5667,18.1167,54.97,44,0,3.44,clear sky
691,Puerto Narino,CO,-3.7703,-70.3831,89.55,37,25,3.22,scattered clouds
692,Okhotsk,RU,59.3833,143.3,55.06,68,1,3.85,clear sky
693,Kosa,RU,59.9445,54.9977,65.43,95,15,5.19,few clouds
694,Ostersund,SE,63.1792,14.6357,49.6,76,46,5.75,scattered clouds
695,Yinchuan,CN,38.4681,106.2731,71.17,54,43,10.58,scattered clouds
696,Lichuan,CN,30.3,108.85,65.52,94,24,1.72,few clouds
697,Livingston,GB,55.9029,-3.5226,61.21,82,0,3.44,clear sky
698,Eureka,US,40.8021,-124.1637,84.67,73,54,5.01,broken clouds
699,Yaan,NG,7.3833,8.5667,73.18,94,98,4.85,overcast clouds
700,Umea,SE,63.8284,20.2597,55.9,66,0,5.75,clear sky
701,Krapivinskiy,RU,54.9992,86.8133,62.24,96,100,2.84,overcast clouds
702,Tucupita,VE,9.0622,-62.051,77.88,93,89,1.88,overcast clouds
703,Catamarca,AR,-28.4696,-65.7852,71.64,39,90,1.01,overcast clouds
